id,value
id_0,1.267832345355275e-05
id_1,1.3513289217761391e-05
id_2,2.8865966701363966e-05
id_3,1.7308181135592613e-05
id_4,1.4084229075421786e-05
id_5,1.53027046013861e-05
id_6,1.3005687161165346e-05
id_7,2.3101776689505362e-05
id_8,9.362619865359082e-06
id_9,1.8239095492724313e-05
id_10,1.1603733111830344e-05
id_11,7.685633006090702e-06
id_12,1.863492609080272e-05
id_13,2.503003956407977e-05
id_14,9.538597712991717e-06
id_15,1.4375423096812982e-05
id_16,1.870526757202589e-05
id_17,3.379445459740376e-05
id_18,6.270134743515665e-06
id_19,1.055544154500666e-05
id_20,2.0929581464616598e-05
id_21,3.3937653859488624e-05
id_22,4.693752465290117e-06
id_23,1.0104361677872036e-05
id_24,9.083999067498128e-06
id_25,1.811908271021597e-05
id_26,7.1061086342162494e-06
id_27,4.207393613185811e-05
id_28,9.93639627717825e-06
id_29,3.2666524187362294e-05
id_30,1.4321705418412855e-05
id_31,1.2323037124922845e-05
id_32,5.821037064078907e-06
id_33,2.98328770840668e-05
id_34,2.6207382186167776e-05
id_35,2.2590096205339477e-05
id_36,2.0665233470215294e-05
id_37,2.389520187667869e-05
id_38,2.352330249152699e-05
id_39,2.1043533445706287e-05
id_40,1.1670140086524075e-05
id_41,1.679138946351874e-05
id_42,1.834715340693542e-05
id_43,2.089338508722056e-05
id_44,1.2323689485194179e-05
id_45,1.6291791836828037e-05
id_46,1.0665971229328499e-05
id_47,9.447140956484057e-06
id_48,1.4104042942843469e-05
id_49,1.130323247456171e-05
id_50,2.378714903734226e-05
id_51,8.621344836439876e-06
id_52,2.7192565909592787e-05
id_53,2.455950690355089e-05
id_54,5.9475399348409034e-06
id_55,2.8155710809796176e-05
id_56,1.4123210375509287e-05
id_57,1.4886606469830708e-05
id_58,3.0229730433186264e-05
id_59,1.1852199888130148e-05
id_60,8.4314213295333e-06
id_61,2.4071404168813706e-05
id_62,9.013057135901882e-06
id_63,2.696899357379239e-05
id_64,1.755173672357585e-05
id_65,1.510606190980439e-05
id_66,2.1782276588645273e-05
id_67,5.361134930589538e-06
id_68,3.209696276838019e-05
id_69,1.9702584968215986e-05
id_70,6.861906223286297e-06
id_71,1.003442588855219e-05
id_72,3.348494058659324e-05
id_73,9.885006473547641e-06
id_74,1.0064019936323638e-05
id_75,1.7109621360912726e-05
id_76,2.1121095193812526e-05
id_77,1.6328236542370923e-05
id_78,2.3883365785859493e-05
id_79,1.5772587388627122e-05
id_80,1.0585998077725306e-05
id_81,1.4699502895927473e-05
id_82,1.7301701468266397e-05
id_83,2.3249090724828173e-05
id_84,8.28785378032617e-06
id_85,1.7490149828522883e-05
id_86,1.5137026081377048e-05
id_87,1.8527108055290925e-05
id_88,8.374352163511604e-06
id_89,1.5325850815604086e-05
id_90,1.6630117571790914e-05
id_91,1.086603105830497e-05
id_92,8.88336803211212e-06
id_93,2.0766941905917422e-05
id_94,9.667791082642472e-06
id_95,1.0764530129385759e-05
id_96,1.3828098952938498e-05
id_97,7.088182655979409e-06
id_98,1.2594540881176458e-05
id_99,1.0336706884815494e-05
id_100,8.529622702075988e-06
id_101,3.066654913960936e-05
id_102,7.800038909473679e-06
id_103,1.1303458980252835e-05
id_104,3.0241852461001098e-05
id_105,9.346765708209181e-06
id_106,1.2937680153253902e-05
id_107,8.791343313493829e-06
id_108,1.049260564366332e-05
id_109,2.3713521295840792e-05
id_110,1.191041018443735e-05
id_111,5.013785819160408e-06
id_112,1.5208381334673771e-05
id_113,1.9639785152464386e-05
id_114,5.850410336928949e-06
id_115,1.6663271139448343e-05
id_116,1.4904626814094833e-05
id_117,7.779536560124562e-06
id_118,2.5971637862190082e-05
id_119,1.56673345846404e-05
id_120,2.5700325237382905e-05
id_121,9.504211113850035e-06
id_122,7.087532232024134e-06
id_123,2.007409342468008e-05
id_124,1.2712162139484859e-05
id_125,1.4230513919536209e-05
id_126,1.044931016301361e-05
id_127,1.1801495363253127e-05
id_128,2.3160521777795248e-05
id_129,2.9792172165966842e-05
id_130,1.0655706643036663e-05
id_131,1.9854881726951634e-05
id_132,1.832609632309334e-05
id_133,8.182593630191807e-06
id_134,4.458809960457452e-06
id_135,6.776381041965874e-06
id_136,1.4334172878406869e-05
id_137,1.5513005610629283e-05
id_138,1.4941678440526528e-05
id_139,5.316584399501753e-06
id_140,1.0267986070687724e-05
id_141,1.3322881961260831e-05
id_142,8.983887449919526e-06
id_143,1.4173609269207444e-05
id_144,7.633589097283534e-06
id_145,1.6411843217355744e-05
id_146,6.640799738553114e-06
id_147,1.9880200339297797e-05
id_148,8.716365658985352e-06
id_149,2.157111425531452e-05
id_150,7.498063350417705e-06
id_151,1.3055537064242526e-05
id_152,1.5671417207632092e-05
id_153,5.292182599575409e-06
id_154,1.3834216731928035e-05
id_155,2.3960945293105176e-05
id_156,1.1245193796385325e-05
id_157,1.1588795307058476e-05
id_158,2.8303236060113903e-05
id_159,1.856198633725573e-05
id_160,2.4202317559429825e-05
id_161,1.3463075386116184e-05
id_162,3.7850326469084795e-06
id_163,9.584726647078847e-06
id_164,4.7273123057454986e-05
id_165,1.9926797798113124e-05
id_166,5.4808585514309835e-06
id_167,6.3881971442825786e-06
id_168,3.176240878242309e-05
id_169,1.1772435824958644e-05
id_170,4.333016821428055e-05
id_171,2.0437343703125752e-05
id_172,1.881949486376805e-05
id_173,1.2411526745906464e-05
id_174,3.339437543250572e-05
id_175,1.4122978022028422e-05
id_176,2.2108418787168954e-05
id_177,1.5316754979785632e-05
id_178,1.4658987997031917e-05
id_179,1.634214918385392e-05
id_180,7.301598951751134e-06
id_181,5.0722389384726765e-06
id_182,1.4757677321104471e-05
id_183,9.654857504214543e-06
id_184,6.2194987186333055e-06
id_185,1.3397480642741005e-05
id_186,1.621448817949877e-05
id_187,2.946045062270516e-05
id_188,8.980337834255425e-06
id_189,4.4104453872439595e-05
id_190,2.3598690229918197e-05
id_191,9.532559636534908e-06
id_192,1.6834804951118708e-05
id_193,5.204657308507738e-06
id_194,1.4987061556106186e-05
id_195,4.67161080864755e-06
id_196,1.6579560292000477e-05
id_197,1.0306542851555048e-05
id_198,1.6279364873302285e-05
id_199,2.582762915720338e-05
id_200,1.2699939071783506e-05
id_201,1.0472405470784441e-05
id_202,3.1101616878564424e-05
id_203,1.2221490803187202e-05
id_204,6.4461631779950875e-06
id_205,4.7053036167551435e-06
id_206,9.330085330248964e-06
id_207,6.969512533184908e-06
id_208,2.7455609843081576e-05
id_209,9.844183970500085e-06
id_210,9.965732986087374e-06
id_211,1.278747459956224e-05
id_212,1.3438766780246335e-05
id_213,2.2636801985735157e-05
id_214,1.4784978963267358e-05
id_215,1.0672483390304173e-05
id_216,4.6886776106301565e-05
id_217,7.793197266736657e-06
id_218,1.2142729196242308e-05
id_219,3.151145762147297e-05
id_220,1.0625803064660815e-05
id_221,9.200364102098013e-06
id_222,5.818620057577974e-05
id_223,9.752634473347468e-06
id_224,1.5537564464188624e-05
id_225,2.8053093937160707e-05
id_226,1.1947017979495557e-05
id_227,1.4486723165965031e-05
id_228,8.210325539024918e-06
id_229,6.998210657615725e-06
id_230,1.7487101968205547e-05
id_231,1.2428563947605876e-05
id_232,2.262640093112053e-05
